2022-03-24 21:47:25 startup packages remove
2022-03-24 21:47:25 status installed linux-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 remove linux-virtual:amd64 5.4.0.105.109 <none>
2022-03-24 21:47:25 status half-configured linux-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 status half-installed linux-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 status config-files linux-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 status not-installed linux-virtual:amd64 <none>
2022-03-24 21:47:25 status installed linux-headers-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 remove linux-headers-virtual:amd64 5.4.0.105.109 <none>
2022-03-24 21:47:25 status half-configured linux-headers-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 status half-installed linux-headers-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 status config-files linux-headers-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 status not-installed linux-headers-virtual:amd64 <none>
2022-03-24 21:47:25 status installed linux-headers-generic:amd64 5.4.0.105.109
2022-03-24 21:47:25 remove linux-headers-generic:amd64 5.4.0.105.109 <none>
2022-03-24 21:47:25 status half-configured linux-headers-generic:amd64 5.4.0.105.109
2022-03-24 21:47:25 status half-installed linux-headers-generic:amd64 5.4.0.105.109
2022-03-24 21:47:25 status config-files linux-headers-generic:amd64 5.4.0.105.109
2022-03-24 21:47:25 status not-installed linux-headers-generic:amd64 <none>
2022-03-24 21:47:25 status installed linux-headers-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:25 remove linux-headers-5.4.0-105-generic:amd64 5.4.0-105.119 <none>
2022-03-24 21:47:25 status half-configured linux-headers-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:25 status half-installed linux-headers-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:25 status config-files linux-headers-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:25 status not-installed linux-headers-5.4.0-105-generic:amd64 <none>
2022-03-24 21:47:25 status installed linux-headers-5.4.0-105:all 5.4.0-105.119
2022-03-24 21:47:25 remove linux-headers-5.4.0-105:all 5.4.0-105.119 <none>
2022-03-24 21:47:25 status half-configured linux-headers-5.4.0-105:all 5.4.0-105.119
2022-03-24 21:47:25 status half-installed linux-headers-5.4.0-105:all 5.4.0-105.119
2022-03-24 21:47:25 status config-files linux-headers-5.4.0-105:all 5.4.0-105.119
2022-03-24 21:47:25 status not-installed linux-headers-5.4.0-105:all <none>
2022-03-24 21:47:25 status installed linux-image-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 remove linux-image-virtual:amd64 5.4.0.105.109 <none>
2022-03-24 21:47:25 status half-configured linux-image-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 status half-installed linux-image-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 status config-files linux-image-virtual:amd64 5.4.0.105.109
2022-03-24 21:47:25 status not-installed linux-image-virtual:amd64 <none>
2022-03-24 21:47:25 status installed linux-image-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:25 remove linux-image-5.4.0-105-generic:amd64 5.4.0-105.119 <none>
2022-03-24 21:47:25 status half-configured linux-image-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:25 status half-installed linux-image-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:25 status config-files linux-image-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:25 status installed linux-modules-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:25 remove linux-modules-5.4.0-105-generic:amd64 5.4.0-105.119 <none>
2022-03-24 21:47:25 status half-configured linux-modules-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:25 status half-installed linux-modules-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:26 status config-files linux-modules-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:26 startup packages configure
2022-03-24 21:47:26 startup packages purge
2022-03-24 21:47:26 purge linux-image-5.4.0-105-generic:amd64 5.4.0-105.119 <none>
2022-03-24 21:47:26 status config-files linux-image-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:26 status not-installed linux-image-5.4.0-105-generic:amd64 <none>
2022-03-24 21:47:26 purge linux-modules-5.4.0-105-generic:amd64 5.4.0-105.119 <none>
2022-03-24 21:47:26 status config-files linux-modules-5.4.0-105-generic:amd64 5.4.0-105.119
2022-03-24 21:47:26 status not-installed linux-modules-5.4.0-105-generic:amd64 <none>
2022-03-24 21:47:26 startup packages configure
2022-03-24 21:47:27 startup packages remove
2022-03-24 21:47:27 status installed grub-pc:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status installed grub-gfxpayload-lists:amd64 0.7
2022-03-24 21:47:27 status installed grub2-common:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status installed grub-pc-bin:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status installed grub-common:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status installed os-prober:amd64 1.74ubuntu2
2022-03-24 21:47:27 remove os-prober:amd64 1.74ubuntu2 <none>
2022-03-24 21:47:27 status half-configured os-prober:amd64 1.74ubuntu2
2022-03-24 21:47:27 status half-installed os-prober:amd64 1.74ubuntu2
2022-03-24 21:47:27 status config-files os-prober:amd64 1.74ubuntu2
2022-03-24 21:47:27 status not-installed os-prober:amd64 <none>
2022-03-24 21:47:27 remove grub-gfxpayload-lists:amd64 0.7 <none>
2022-03-24 21:47:27 status half-configured grub-gfxpayload-lists:amd64 0.7
2022-03-24 21:47:27 status half-installed grub-gfxpayload-lists:amd64 0.7
2022-03-24 21:47:27 status triggers-pending man-db:amd64 2.9.1-1
2022-03-24 21:47:27 status config-files grub-gfxpayload-lists:amd64 0.7
2022-03-24 21:47:27 status not-installed grub-gfxpayload-lists:amd64 <none>
2022-03-24 21:47:27 remove grub-pc:amd64 2.04-1ubuntu26.13 <none>
2022-03-24 21:47:27 status half-configured grub-pc:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status half-installed grub-pc:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status config-files grub-pc:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 remove grub2-common:amd64 2.04-1ubuntu26.13 <none>
2022-03-24 21:47:27 status half-configured grub2-common:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status half-installed grub2-common:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status triggers-pending install-info:amd64 6.7.0.dfsg.2-5
2022-03-24 21:47:27 status config-files grub2-common:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 remove grub-pc-bin:amd64 2.04-1ubuntu26.13 <none>
2022-03-24 21:47:27 status half-configured grub-pc-bin:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status half-installed grub-pc-bin:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status config-files grub-pc-bin:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status not-installed grub-pc-bin:amd64 <none>
2022-03-24 21:47:27 remove grub-common:amd64 2.04-1ubuntu26.13 <none>
2022-03-24 21:47:27 status half-configured grub-common:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:27 status half-installed grub-common:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:28 status config-files grub-common:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:28 startup packages configure
2022-03-24 21:47:28 trigproc install-info:amd64 6.7.0.dfsg.2-5 <none>
2022-03-24 21:47:28 status half-configured install-info:amd64 6.7.0.dfsg.2-5
2022-03-24 21:47:28 status installed install-info:amd64 6.7.0.dfsg.2-5
2022-03-24 21:47:28 trigproc man-db:amd64 2.9.1-1 <none>
2022-03-24 21:47:28 status half-configured man-db:amd64 2.9.1-1
2022-03-24 21:47:28 status installed man-db:amd64 2.9.1-1
2022-03-24 21:47:28 startup packages purge
2022-03-24 21:47:28 purge grub2-common:amd64 2.04-1ubuntu26.13 <none>
2022-03-24 21:47:28 status config-files grub2-common:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:28 status not-installed grub2-common:amd64 <none>
2022-03-24 21:47:28 purge grub-pc:amd64 2.04-1ubuntu26.13 <none>
2022-03-24 21:47:28 status config-files grub-pc:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:28 status not-installed grub-pc:amd64 <none>
2022-03-24 21:47:28 purge grub-common:amd64 2.04-1ubuntu26.13 <none>
2022-03-24 21:47:28 status config-files grub-common:amd64 2.04-1ubuntu26.13
2022-03-24 21:47:28 status triggers-pending systemd:amd64 245.4-4ubuntu3.15
2022-03-24 21:47:28 status not-installed grub-common:amd64 <none>
2022-03-24 21:47:28 startup packages configure
2022-03-24 21:47:28 trigproc systemd:amd64 245.4-4ubuntu3.15 <none>
2022-03-24 21:47:28 status half-configured systemd:amd64 245.4-4ubuntu3.15
2022-03-24 21:47:28 status installed systemd:amd64 245.4-4ubuntu3.15
2022-03-24 22:18:41 startup archives unpack
2022-03-24 22:18:41 install dbus-x11:amd64 <none> 1.12.16-2ubuntu2.1
2022-03-24 22:18:41 status half-installed dbus-x11:amd64 1.12.16-2ubuntu2.1
2022-03-24 22:18:41 status triggers-pending man-db:amd64 2.9.1-1
2022-03-24 22:18:41 status unpacked dbus-x11:amd64 1.12.16-2ubuntu2.1
2022-03-24 22:18:41 install fonts-dejavu-core:all <none> 2.37-1
2022-03-24 22:18:41 status half-installed fonts-dejavu-core:all 2.37-1
2022-03-24 22:18:41 status unpacked fonts-dejavu-core:all 2.37-1
2022-03-24 22:18:41 install fontconfig-config:all <none> 2.13.1-2ubuntu3
2022-03-24 22:18:41 status half-installed fontconfig-config:all 2.13.1-2ubuntu3
2022-03-24 22:18:41 status unpacked fontconfig-config:all 2.13.1-2ubuntu3
2022-03-24 22:18:41 install libasyncns0:amd64 <none> 0.8-6
2022-03-24 22:18:41 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.7
2022-03-24 22:18:41 status half-installed libasyncns0:amd64 0.8-6
2022-03-24 22:18:41 status unpacked libasyncns0:amd64 0.8-6
2022-03-24 22:18:41 install libdrm-amdgpu1:amd64 <none> 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 status half-installed libdrm-amdgpu1:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 status unpacked libdrm-amdgpu1:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 install libpciaccess0:amd64 <none> 0.16-0ubuntu1
2022-03-24 22:18:41 status half-installed libpciaccess0:amd64 0.16-0ubuntu1
2022-03-24 22:18:41 status unpacked libpciaccess0:amd64 0.16-0ubuntu1
2022-03-24 22:18:41 install libdrm-intel1:amd64 <none> 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 status half-installed libdrm-intel1:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 status unpacked libdrm-intel1:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 install libdrm-nouveau2:amd64 <none> 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 status half-installed libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 status unpacked libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 install libdrm-radeon1:amd64 <none> 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 status half-installed libdrm-radeon1:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 status unpacked libdrm-radeon1:amd64 2.4.107-8ubuntu1~20.04.2
2022-03-24 22:18:41 install libflac8:amd64 <none> 1.3.3-1build1
2022-03-24 22:18:41 status half-installed libflac8:amd64 1.3.3-1build1
2022-03-24 22:18:41 status unpacked libflac8:amd64 1.3.3-1build1
2022-03-24 22:18:41 install libfontconfig1:amd64 <none> 2.13.1-2ubuntu3
2022-03-24 22:18:41 status half-installed libfontconfig1:amd64 2.13.1-2ubuntu3
2022-03-24 22:18:41 status unpacked libfontconfig1:amd64 2.13.1-2ubuntu3
2022-03-24 22:18:41 install libfontenc1:amd64 <none> 1:1.1.4-0ubuntu1
2022-03-24 22:18:41 status half-installed libfontenc1:amd64 1:1.1.4-0ubuntu1
2022-03-24 22:18:41 status unpacked libfontenc1:amd64 1:1.1.4-0ubuntu1
2022-03-24 22:18:41 install libglapi-mesa:amd64 <none> 21.2.6-0ubuntu0.1~20.04.2
2022-03-24 22:18:41 status half-installed libglapi-mesa:amd64 21.2.6-0ubuntu0.1~20.04.2
2022-03-24 22:18:41 status unpacked libglapi-mesa:amd64 21.2.6-0ubuntu0.1~20.04.2
2022-03-24 22:18:41 install libllvm12:amd64 <none> 1:12.0.0-3ubuntu1~20.04.5
2022-03-24 22:18:41 status half-installed libllvm12:amd64 1:12.0.0-3ubuntu1~20.04.5
2022-03-24 22:18:43 status unpacked libllvm12:amd64 1:12.0.0-3ubuntu1~20.04.5
2022-03-24 22:18:43 install libsensors-config:all <none> 1:3.6.0-2ubuntu1
2022-03-24 22:18:43 status half-installed libsensors-config:all 1:3.6.0-2ubuntu1
2022-03-24 22:18:43 status unpacked libsensors-config:all 1:3.6.0-2ubuntu1
2022-03-24 22:18:43 install libsensors5:amd64 <none> 1:3.6.0-2ubuntu1
2022-03-24 22:18:43 status half-installed libsensors5:amd64 1:3.6.0-2ubuntu1
2022-03-24 22:18:43 status unpacked libsensors5:amd64 1:3.6.0-2ubuntu1
2022-03-24 22:18:43 install libvulkan1:amd64 <none> 1.2.131.2-1
2022-03-24 22:18:43 status half-installed libvulkan1:amd64 1.2.131.2-1
2022-03-24 22:18:43 status unpacked libvulkan1:amd64 1.2.131.2-1
